short_name,long_name,power,tank,naval,air
USA,United States,1650,6289,490,13264
RUS,Russia,1468,12950,603,4163
CHN,China,1447,3500,777,3210
IND,India,1049,4292,285,2123
JPN,Japan,666,1004,155,1561
SKO,South Korea,662,2614,234,1649
FRA,France,587,528,180,1229
UKD,United Kingdom,582,227,88,733
EGY,Egypt,534,4295,316,1054
BRA,Brazil,503,437,112,715
TUR,Turkey,476,2622,149,1055
ITA,Italy,473,200,249,860
GER,Germany,457,245,80,712
IRN,Iran,456,2056,398,509
PAK,Pakistan,423,2200,100,1372
INO,Indonesia,393,313,282,462
SAR,Saudi Arabia,329,1062,55,879
ISR,Israel,321,2760,65,589
AUS,Australia,310,59,48,464
SPA,Spain,295,327,77,512
POL,Poland,294,1069,87,457
VTN,Vietnam,280,2615,65,293
THA,Thailand,280,841,292,570
CAN,Canada,269,80,64,385
NKO,North Korea,268,6045,984,949
TAI,Taiwan,249,1180,117,744
UKR,Ukraine,224,2026,25,297
ALG,Algeria,214,880,201,551
SAF,South Africa,200,195,30,226
SWI,Switzerland,190,326,0,169
NOR,Norway,189,52,62,150
SWE,Sweden,188,126,63,204
GRE,Greece,188,1355,116,566
CZC,Czechia,180,116,0,95
MYA,Myanmar,175,434,187,276
NET,Netherlands,168,18,63,168
COL,Colombia,165,0,453,469
MEX,Mexico,164,0,189,484
ROM,Romania,161,943,48,143
PER,Peru,160,146,60,273
VEN,Venezuela,155,390,49,260
NGA,Nigeria,154,253,75,129
ARG,Argentina,153,370,49,227
MLY,Malaysia,152,74,61,170
UAE,United Arab Emirates,142,434,75,538
BAN,Bangladesh,141,276,112,177
CHI,Chile,130,300,69,282
PHI,Philippines,127,7,103,171
DEN,Denmark,126,57,74,113
IRQ,Iraq,126,309,60,348
SIN,Singapore,125,180,40,235
UZB,Uzbekistan,123,420,0,185
BLR,Belarus,122,532,0,202
HUN,Hungary,121,30,0,47
SYR,Syria,121,4135,56,456
ANG,Angola,119,379,57,295
MOR,Morocco,118,1443,121,214
SLK,Slovakia,118,20,0,47
FIN,Finland,117,200,246,194
ETH,Ethiopia,116,400,0,86
POR,Portugal,116,133,41,90
BUL,Bulgaria,112,710,29,63
KAZ,Kazakhstan,109,650,15,222
AZR,Azerbaijan,105,570,31,147
SER,Serbia,105,293,19,109
AST,Austria,104,56,0,120
BOL,Bolivia,100,54,173,69
ECU,Ecuador,99,232,19,108
CRO,Croatia,98,72,28,78
BEL,Belgium,95,0,17,148
DRC,Democratic Republic of the Congo,87,175,20,53
JOR,Jordan,87,1313,37,278
CUB,Cuba,81,1180,12,80
YEM,Yemen,80,620,30,169
OMA,Oman,79,117,16,131
SUD,Sudan,76,690,18,190
TKM,Turkmenistan,75,712,4,72
AFG,Afghanistan,74,0,0,260
NWZ,New Zealand,73,0,11,48
LBY,Libya,73,250,5,114
TUN,Tunisia,68,181,50,147
SRL,Sri Lanka,68,202,40,77
LIT,Lithuania,67,0,12,10
KEN,Kenya,65,76,19,150
KUW,Kuwait,63,367,38,85
UGA,Uganda,61,371,8,48
CHD,Chad,61,60,0,35
ZAM,Zambia,60,75,0,108
GEO,Georgia,59,143,9,66
QTR,Qatar,59,92,86,123
ZIM,Zimbabwe,56,42,0,90
GUA,Guatemala,54,12,26,33
BAH,Bahrain,53,180,39,109
TAJ,Tajikistan,53,253,0,25
URU,Uruguay,52,78,20,50
MAL,Mali,52,80,0,29
BKF,Burkina Faso,52,0,0,16
KYR,Kyrgyzstan,51,150,0,5
IRE,Ireland,51,0,8,19
SLV,Slovenia,51,44,2,38
