short_name,long_name,active service,Available population,reach age,Suitable for service
CHN,China,2183000,752855402,19614518,621105706
IND,India,1444000,622480340,23116044,494249390
USA,United States,1400000,144872845,4188274,119664970
NKO,North Korea,1280000,13045878,415068,10123601
RUS,Russia,1013628,69640160,1306449,46658907
PAK,Pakistan,654000,96344277,4338383,76111979
SKO,South Korea,580000,25709049,632443,21081420
IRN,Iran,523000,47324105,1394476,39842164
VTN,Vietnam,482000,51043216,1651274,41804394
SAR,Saudi Arabia,478000,17703745,583161,16198927
EGY,Egypt,440000,42946553,1551229,36075104
MYA,Myanmar,406000,30258643,1025375,21816482
INO,Indonesia,400000,130868127,4540339,108620545
THA,Thailand,360850,35543014,1094725,27368121
TUR,Turkey,355000,41847478,1406075,35151882
VEN,Venezuela,343000,14260129,584665,11693306
BRA,Brazil,334500,107764996,3383821,84595522
MOR,Morocco,310000,17157065,604533,14532034
COL,Colombia,295000,24084498,839509,19079739
MEX,Mexico,277000,60460418,2154809,48972939
FRA,France,268000,30111868,776483,23818487
UKR,Ukraine,255000,22195911,469444,15648117
JPN,Japan,247160,53873803,11782201,43637780
SRL,Sri Lanka,245000,10927071,327484,8850927
GRE,Greece,200000,4993347,104755,4044611
SSU,South Sudan,197500,5245155,268552,3356899
UKD,United Kingdom,192660,29948413,745117,23958731
GER,Germany,182650,37010559,7905455,29608447
ITA,Italy,175000,28011003,567223,22688913
AFG,Afghanistan,175000,14325743,780843,8165674
ISR,Israel,170000,3647983,121113,3027826
IRQ,Iraq,165000,16399240,664169,13283385
TAI,Taiwan,165000,12196809,300041,10001383
ETH,Ethiopia,162000,41143474,1989698,25508954
BAN,Bangladesh,160000,78913289,3060573,63130631
SYR,Syria,142000,12450728,535381,10707626
DRC,Democratic Republic of the Congo,134000,34112410,2183194,27289928
KAZ,Kazakhstan,132000,8585003,259954,6498847
ALG,Algeria,130000,20741263,685686,17536738
AZR,Azerbaijan,126000,5042346,151270,3781760
PHI,Philippines,125000,51887757,2127398,42547960
CMB,Cambodia,125000,8120963,312657,5684674
SPA,Spain,124000,23136275,374808,18740382
NGA,Nigeria,120000,77108499,3454461,43180760
POL,Poland,118000,18826137,463123,15437432
MLY,Malaysia,110000,15201837,526142,12587121
ANG,Angola,107000,6244205,320908,3147079
SUD,Sudan,104000,24061430,1197393,15351193
JOR,Jordan,100000,3346692,143238,2864768
NEP,Nepal,95000,14739923,746164,11305521
PER,Peru,90000,15352302,621768,12435364
ARG,Argentina,83515,20179430,670663,17152516
CHI,Chile,77000,8657902,281171,7246664
LEB,Lebanon,75000,2135026,68775,1809862
SIN,Singapore,72500,4017314,67290,2691600
CAN,Canada,71500,16110865,427524,13114244
ROM,Romania,70000,11007501,225379,9015143
SAF,South Africa,66300,26250220,963908,14175119
UAE,United Arab Emirates,64000,5820789,78790,4924387
AUS,Australia,60000,10808002,282654,8888501
DOM,Dominican Republic,55000,4819818,95494,3913692
UZB,Uzbekistan,50000,15912566,601495,13366555
CUB,Cuba,50000,5980621,144253,4808419
BLR,Belarus,45500,4982905,99828,3697316
UGA,Uganda,45000,14707350,866336,8750873
ARM,Armenia,45000,1696085,44835,1396726
YEM,Yemen,43500,11266221,575253,8337004
OMA,Oman,42500,1764529,61194,1529846
ECU,Ecuador,40000,7696551,302836,6180331
TUN,Tunisia,36000,5850224,201248,5031193
NET,Netherlands,35500,7820960,196384,6334978
BOL,Bolivia,35000,5075416,218211,3837015
CHD,Chad,30500,6030834,340327,3377267
POR,Portugal,30500,4804949,118058,3953253
SER,Serbia,30000,3468274,81886,2729532
LAO,Laos,30000,3248143,144796,2335415
BUL,Bulgaria,30000,3278916,65445,2682154
BEL,Belgium,30000,4833107,115239,3841305
LBY,Libya,30000,3552871,118748,3044810
TAN,Tanzania,30000,10258498,507796,5642174
ZIM,Zimbabwe,30000,5584086,308744,3182929
SWE,Sweden,30000,4116808,103250,3441651
IVC,Ivory Coast,25500,11160747,525269,7098235
CZC,Czechia,25000,5011174,99087,4060953
ESL,El Salvador,25000,3106010,140041,2456854
HUN,Hungary,25000,4618081,113189,3772972
URU,Uruguay,25000,1549878,54224,1300347
KEN,Kenya,24150,19600998,848370,12662245
NOR,Norway,24000,2170365,70841,1771018
AST,Austria,22500,4017691,95099,3615922
TKM,Turkmenistan,22000,2797493,109304,2277159
FIN,Finland,21500,2307420,57178,1905929
SWI,Switzerland,21000,3632250,90334,3011136
GUA,Guatemala,20000,7063622,363760,5905188
SOM,Somalia,20000,2702167,121598,1621300
GEO,Georgia,20000,2249744,577667,1822293
LIT,Lithuania,18500,1779322,39402,1382533
DEN,Denmark,16000,2590457,77444,2093089
MAU,Mauritania,16000,1555374,73613,1082540
SLK,Slovakia,16000,2776970,61777,2296555
