short_name,long_name,power
CHN,China,752855402
IND,India,622480340
USA,United States,144872845
INO,Indonesia,130868127
BRA,Brazil,107764996
PAK,Pakistan,96344277
BAN,Bangladesh,78913289
NGA,Nigeria,77108499
RUS,Russia,69640160
MEX,Mexico,60460418
JPN,Japan,53873803
PHI,Philippines,51887757
VTN,Vietnam,51043216
IRN,Iran,47324105
EGY,Egypt,42946553
TUR,Turkey,41847478
ETH,Ethiopia,41143474
GER,Germany,37010559
THA,Thailand,35543014
DRC,Democratic Republic of the Congo,34112410
MYA,Myanmar,30258643
FRA,France,30111868
UKD,United Kingdom,29948413
ITA,Italy,28011003
SAF,South Africa,26250220
SKO,South Korea,25709049
COL,Colombia,24084498
SUD,Sudan,24061430
SPA,Spain,23136275
UKR,Ukraine,22195911
ALG,Algeria,20741263
ARG,Argentina,20179430
KEN,Kenya,19600998
POL,Poland,18826137
SAR,Saudi Arabia,17703745
MOR,Morocco,17157065
IRQ,Iraq,16399240
CAN,Canada,16110865
UZB,Uzbekistan,15912566
PER,Peru,15352302
MLY,Malaysia,15201837
NEP,Nepal,14739923
UGA,Uganda,14707350
AFG,Afghanistan,14325743
VEN,Venezuela,14260129
NKO,North Korea,13045878
GHA,Ghana,12561805
SYR,Syria,12450728
TAI,Taiwan,12196809
YEM,Yemen,11266221
IVC,Ivory Coast,11160747
ROM,Romania,11007501
SRL,Sri Lanka,10927071
AUS,Australia,10808002
TAN,Tanzania,10258498
MAD,Madagascar,10145026
CAM,Cameroon,9487157
CHI,Chile,8657902
KAZ,Kazakhstan,8585003
CMB,Cambodia,8120963
NET,Netherlands,7820960
BKF,Burkina Faso,7800000
ECU,Ecuador,7696551
GUA,Guatemala,7063622
NGR,Niger,6754519
ANG,Angola,6244205
ZAM,Zambia,6166905
CHD,Chad,6030834
MAL,Mali,5991557
CUB,Cuba,5980621
TUN,Tunisia,5850224
UAE,United Arab Emirates,5820789
ZIM,Zimbabwe,5584086
SSU,South Sudan,5245155
BOL,Bolivia,5075416
AZR,Azerbaijan,5042346
CZC,Czechia,5011174
GRE,Greece,4993347
BLR,Belarus,4982905
BEL,Belgium,4833107
DOM,Dominican Republic,4819818
POR,Portugal,4804949
MOZ,Mozambique,4629744
HUN,Hungary,4618081
SWE,Sweden,4116808
HON,Honduras,4104696
TAJ,Tajikistan,4095924
AST,Austria,4017691
SIN,Singapore,4017314
ISR,Israel,3647983
SWI,Switzerland,3632250
LBY,Libya,3552871
SER,Serbia,3468274
PAR,Paraguay,3372366
JOR,Jordan,3346692
BUL,Bulgaria,3278916
LAO,Laos,3248143
ESL,El Salvador,3106010
NIC,Nicaragua,3030436
KYR,Kyrgyzstan,3029935
TKM,Turkmenistan,2797493
SLK,Slovakia,2776970
SOM,Somalia,2702167
DEN,Denmark,2590457
BOS,Bosnia and Herzegovina,2394632
IRE,Ireland,2366779
CAR,Central African Republic,2348581
FIN,Finland,2307420
GEO,Georgia,2249744
LIB,Liberia,2226923
NOR,Norway,2170365
LEB,Lebanon,2135026
NWZ,New Zealand,2115989
CRO,Croatia,2088265
MOL,Moldova,2014503
ROC,Republic of the Congo,1938754
MON,Mongolia,1818609
LIT,Lithuania,1779322
OMA,Oman,1764529
PAN,Panama,1759698
ARM,Armenia,1696085
KUW,Kuwait,1641971
MAU,Mauritania,1555374
URU,Uruguay,1549878
ALB,Albania,1519438
SIE,Sierra Leone,1432872
MAC,North Macedonia,1053116
SLV,Slovenia,1002714
BOT,Botswana,962617
GAB,Gabon,842741
LAT,Latvia,840595
BAH,Bahrain,806505
QTR,Qatar,612164
EST,Estonia,596014
NAM,Namibia,582642
BUT,Bhutan,176808
MTN,Montenegro,146191
SUR,Suriname,132740
